case_id,n_cores,no_l2_makespan,no_l2_added_copy,l2_makespan,l2_added_copy,cache_hit_rate
case_082,2,490931,1800326,490931,1800326,0.13365648678159017
case_082,3,408000,1892236,407632,1892236,0.2895177869012054
case_082,4,391310,2720304,390564,2720304,0.3276153246624444
case_082,5,378812,1387094,378786,1387094,0.25435850810316224
case_083,1,1057993,13934688,946145,13934688,0.7958684091545202
case_083,2,445555,2187872,441435,2187872,0.33902535750110807
case_083,3,297897,3257536,294382,3245248,0.4974270718279349
case_083,4,232560,4144928,222621,4175648,0.5532399155400773
case_083,5,197937,6533504,175637,6568320,0.49357149718642407
case_084,1,2507412,0,2507412,0,0.0
case_084,2,1253876,9216,1253876,9216,0.0
case_084,3,839098,9216,839098,9216,0.0
case_084,4,633736,0,633736,0,0.0
case_084,5,503576,0,503576,0,0.0
case_085,1,3187899,0,3187899,0,0.0
case_085,2,2310652,4548614,2310600,4548614,0.11054938652046871
case_085,3,1705149,7682444,1703258,7682444,0.24991751659465627
case_085,4,1746680,9911314,1743689,9911314,0.34783659456236926
case_085,5,1308515,14103958,1305827,14110102,0.36286259438176155
case_086,1,118403,0,118403,0,0.0
case_086,2,84388,452934,84388,452934,0.15539543626331426
case_086,3,66789,1077548,67006,1095500,0.37385549192414524
case_086,4,81421,1576786,81038,1580626,0.3257635730090649
case_086,5,70531,965232,70306,965232,0.2345525522278967
case_087,1,3974071,7902720,3969779,7902720,0.18336776784760794
case_087,2,1992229,6872054,1990755,6872054,0.27889307878716235
case_087,3,1412551,7490354,1384476,7254764,0.25488027561810056
case_087,4,1044566,7051766,1042302,7051766,0.1733062853087918
case_087,5,946790,7275190,946765,7633308,0.284376520454308
case_088,1,243623,0,243623,0,0.0
case_088,2,161350,829080,161350,829080,0.1547110052819565
case_088,3,136104,1338180,135748,1338180,0.22700845684547358
case_088,4,183402,1065298,166982,1719956,0.22538900198816625
case_088,5,133583,932780,130501,932780,0.18805639159809
case_089,1,693092,0,693092,0,0.0
case_089,2,346832,238720,346832,238720,0.0
case_089,3,231898,1235200,231898,1235200,0.3729092526690391
case_089,4,173472,716160,173472,716160,0.0
